Agent,Bug_Debt_Hours,Code_Smell_Debt_Hours,Vulnerability_Debt_Hours,Security_Hotspot_Debt_Hours,Total_Debt_Hours,Bug_Pct,Code_Smell_Pct,Vulnerability_Pct,Security_Hotspot_Pct
Claude_Code,0.16666666666666666,4.55,0.0,0.0,4.716666666666667,3.533568904593639,96.46643109540636,0.0,0.0
Copilot,1.4999999999999998,31.46666666666667,0.0,0.0,32.96666666666667,4.550050556117289,95.44994944388272,0.0,0.0
Cursor,0.5833333333333334,26.933333333333334,0.0,0.0,27.516666666666666,2.1199273167777104,97.8800726832223,0.0,0.0
Devin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OpenAI_Codex,0.75,10.516666666666667,0.0,0.0,11.266666666666667,6.65680473372781,93.34319526627219,0.0,0.0
